locus_tag	ftype	length_bp	gene	EC_number	COG	product
Sudilovsky_01037	CDS	468				hypothetical protein
Sudilovsky_01038	CDS	906			COG1752	putative NTE family protein
Sudilovsky_01039	CDS	1017	rssB_1		COG0745	Regulator of RpoS
Sudilovsky_01040	CDS	912	galU	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
Sudilovsky_01041	CDS	408	hns		COG2916	DNA-binding protein H-NS
Sudilovsky_01042	CDS	507	tdk	2.7.1.21		Thymidine kinase
Sudilovsky_01043	CDS	2676	adhE		COG1012	Bifunctional aldehyde-alcohol dehydrogenase AdhE
Sudilovsky_01044	CDS	1671	oppA_1			Periplasmic oligopeptide-binding protein OppA
Sudilovsky_01045	CDS	1638	oppA_2			Periplasmic oligopeptide-binding protein OppA
Sudilovsky_01046	CDS	921	oppB		COG0601	Oligopeptide transport system permease protein OppB
Sudilovsky_01047	CDS	909	oppC_1			Oligopeptide transport system permease protein OppC
Sudilovsky_01048	CDS	996	oppD_2	7.4.2.6	COG0444	Oligopeptide transport ATP-binding protein OppD
Sudilovsky_01049	CDS	1035	oppF_2	7.4.2.6		Oligopeptide transport ATP-binding protein OppF
Sudilovsky_01050	CDS	324	yciU		COG3099	Putative double-stranded DNA mimic protein YciU
Sudilovsky_01051	CDS	1461	clsA	2.7.8.-	COG1502	Cardiolipin synthase A
Sudilovsky_01052	CDS	1674	tsr_2		COG0840	Methyl-accepting chemotaxis protein I
Sudilovsky_01053	CDS	297	yciI		COG2350	Protein YciI
Sudilovsky_01054	CDS	759				hypothetical protein
Sudilovsky_01055	CDS	423		3.1.2.-	COG1607	putative acyl-CoA thioester hydrolase
Sudilovsky_01056	CDS	570	yciB		COG2917	Inner membrane-spanning protein YciB
Sudilovsky_01057	CDS	753				hypothetical protein
Sudilovsky_01058	CDS	633	ompW		COG3047	Outer membrane protein W
Sudilovsky_01059	CDS	732	kdgM_2		COG1452	Oligogalacturonate-specific porin KdgM
Sudilovsky_01060	CDS	807	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
Sudilovsky_01061	CDS	1191	trpB	4.2.1.20		Tryptophan synthase beta chain
Sudilovsky_01062	CDS	1368	trpC		COG0134	Tryptophan biosynthesis protein TrpCF
Sudilovsky_01063	CDS	1068	trpGD		COG0512	Bifunctional protein TrpGD
Sudilovsky_01064	CDS	579	trpG_1	4.1.3.27		Anthranilate synthase component 2
Sudilovsky_01065	CDS	1563	trpE	4.1.3.27		Anthranilate synthase component 1
Sudilovsky_01066	misc_RNA	105				Trp_leader
Sudilovsky_01067	CDS	873	rnm	3.1.13.-	COG0613	5'-3' exoribonuclease Rnm
Sudilovsky_01068	CDS	807				hypothetical protein
Sudilovsky_01069	CDS	621	yciO		COG0009	putative protein YciO
Sudilovsky_01070	CDS	885	rluB	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
Sudilovsky_01071	misc_RNA	107				Ysr224
Sudilovsky_01072	CDS	591	btuR	2.5.1.17		Corrinoid adenosyltransferase CobA
Sudilovsky_01073	CDS	762	yciK	1.-.-.-	COG1028	putative oxidoreductase YciK
Sudilovsky_01074	CDS	1047	sohB	3.4.21.-	COG0616	putative protease SohB
Sudilovsky_01075	CDS	270	yciN			Protein YciN
Sudilovsky_01076	CDS	2601	topA_1	5.6.2.1	COG0550	DNA topoisomerase 1
Sudilovsky_01077	CDS	975	cysB			HTH-type transcriptional regulator CysB
Sudilovsky_01078	CDS	1518	dtpA			Dipeptide and tripeptide permease A
Sudilovsky_01079	CDS	636	nth	4.2.99.18	COG0177	Endonuclease III
Sudilovsky_01080	CDS	708	rsxE	7.-.-.-	COG4660	Ion-translocating oxidoreductase complex subunit E
Sudilovsky_01081	CDS	630	rsxG	7.-.-.-	COG4659	Ion-translocating oxidoreductase complex subunit G
Sudilovsky_01082	CDS	1056	rsxD	7.-.-.-	COG4658	Ion-translocating oxidoreductase complex subunit D
Sudilovsky_01083	CDS	2271	rsxC	7.-.-.-		Ion-translocating oxidoreductase complex subunit C
Sudilovsky_01084	CDS	579	rsxB	7.-.-.-	COG2878	Ion-translocating oxidoreductase complex subunit B
Sudilovsky_01085	CDS	582	rsxA	7.-.-.-	COG4657	Ion-translocating oxidoreductase complex subunit A
Sudilovsky_01086	CDS	1506	araA	5.3.1.4	COG2160	L-arabinose isomerase
Sudilovsky_01087	CDS	1686	araB_1	2.7.1.16	COG1069	Ribulokinase
Sudilovsky_01088	CDS	984	araF		COG1879	L-arabinose-binding periplasmic protein
Sudilovsky_01089	CDS	1524	araG	7.5.2.12	COG1129	Arabinose import ATP-binding protein AraG
Sudilovsky_01090	CDS	987	araH		COG1172	L-arabinose transport system permease protein AraH
Sudilovsky_01091	CDS	933	araC		COG4977	Arabinose operon regulatory protein
Sudilovsky_01092	CDS	1047	ydgJ	1.-.-.-	COG0673	putative oxidoreductase YdgJ
Sudilovsky_01093	CDS	993				hypothetical protein
Sudilovsky_01094	CDS	465				hypothetical protein
Sudilovsky_01095	CDS	1017	add	3.5.4.4	COG1816	Adenosine deaminase
Sudilovsky_01096	CDS	975				hypothetical protein
Sudilovsky_01097	CDS	1560	ydgA		COG5339	Protein YdgA
Sudilovsky_01098	CDS	1173	manA	5.3.1.8	COG1482	Mannose-6-phosphate isomerase
Sudilovsky_01099	CDS	1398	fumC	4.2.1.2	COG0114	Fumarate hydratase class II
Sudilovsky_01100	CDS	936	tus			DNA replication terminus site-binding protein
Sudilovsky_01101	CDS	1269	ynfM		COG2814	Inner membrane transport protein YnfM
Sudilovsky_01102	CDS	897	benM		COG0583	HTH-type transcriptional regulator BenM
Sudilovsky_01103	CDS	1218	mlc		COG1940	DNA-binding transcriptional repressor Mlc
Sudilovsky_01104	CDS	666	bioD1_2	6.3.3.3	COG0132	ATP-dependent dethiobiotin synthetase BioD 1
Sudilovsky_01105	CDS	1488	bmr3		COG2814	Multidrug resistance protein 3
Sudilovsky_01106	CDS	300				hypothetical protein
Sudilovsky_01107	CDS	618				hypothetical protein
Sudilovsky_01108	CDS	351				hypothetical protein
Sudilovsky_01109	CDS	750	ydfG	1.1.1.381	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG
Sudilovsky_01110	CDS	1185	hisC_2	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
Sudilovsky_01111	CDS	1218	gpgS	2.4.1.266	COG1215	Glucosyl-3-phosphoglycerate synthase
Sudilovsky_01112	CDS	825	yedP	3.1.3.70	COG3769	Mannosyl-3-phosphoglycerate phosphatase
Sudilovsky_01113	CDS	963	cdhR_1			HTH-type transcriptional regulator CdhR
Sudilovsky_01114	CDS	777				hypothetical protein
Sudilovsky_01115	CDS	231	pptA	5.3.2.-	COG1942	Tautomerase PptA
Sudilovsky_01116	CDS	912	yddG_2		COG0697	Aromatic amino acid exporter YddG
Sudilovsky_01117	CDS	1503	ddc_1	4.1.1.86	COG0076	L-2,4-diaminobutyrate decarboxylase
Sudilovsky_01118	CDS	1383	dat_1	2.6.1.76	COG0160	Diaminobutyrate--2-oxoglutarate aminotransferase
Sudilovsky_01119	CDS	234				hypothetical protein
Sudilovsky_01120	CDS	336				hypothetical protein
Sudilovsky_01121	CDS	1158	digH	3.2.1.-	COG1649	Glycosyl hydrolase DigH
Sudilovsky_01122	CDS	288				hypothetical protein
Sudilovsky_01123	CDS	120				hypothetical protein
Sudilovsky_01124	CDS	558				hypothetical protein
Sudilovsky_01125	CDS	1275	fabF_1	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
Sudilovsky_01126	CDS	900	pgrR_1		COG0583	HTH-type transcriptional regulator PgrR
Sudilovsky_01127	CDS	102				hypothetical protein
Sudilovsky_01128	CDS	903	pgrR_2		COG0583	HTH-type transcriptional regulator PgrR
Sudilovsky_01129	CDS	1020				putative protein
Sudilovsky_01130	CDS	765	lvr	1.1.1.-		Levodione reductase
Sudilovsky_01131	CDS	1485				hypothetical protein
Sudilovsky_01132	CDS	387				hypothetical protein
Sudilovsky_01133	CDS	336				hypothetical protein
Sudilovsky_01134	CDS	267				hypothetical protein
Sudilovsky_01135	CDS	423	lysG		COG0583	HTH-type transcriptional regulator LysG
Sudilovsky_01136	CDS	1974				hypothetical protein
Sudilovsky_01137	CDS	489	yycN	2.3.1.-	COG0456	putative N-acetyltransferase YycN
Sudilovsky_01138	CDS	1197	ybjJ_2		COG0738	Inner membrane protein YbjJ
Sudilovsky_01139	CDS	552	rcdA		COG3226	HTH-type transcriptional regulator RcdA
Sudilovsky_01140	CDS	396	cybC		COG3783	Soluble cytochrome b562
Sudilovsky_01141	CDS	429	osmC	1.11.1.-	COG1764	Peroxiredoxin OsmC
Sudilovsky_01142	CDS	690	yoaJ		COG4305	Expansin-YoaJ
Sudilovsky_01143	CDS	1419				hypothetical protein
Sudilovsky_01144	CDS	2988				hypothetical protein
Sudilovsky_01145	CDS	2463				hypothetical protein
Sudilovsky_01146	CDS	1161				hypothetical protein
Sudilovsky_01147	CDS	291				hypothetical protein
Sudilovsky_01148	CDS	480				hypothetical protein
Sudilovsky_01149	CDS	717				hypothetical protein
Sudilovsky_01150	CDS	1269				hypothetical protein
Sudilovsky_01151	CDS	726				hypothetical protein
Sudilovsky_01152	CDS	1230	ufaA1	2.1.1.-	COG2230	Tuberculostearic acid methyltransferase UfaA1
Sudilovsky_01153	CDS	525	sodC1	1.15.1.1		Superoxide dismutase [Cu-Zn] 1
Sudilovsky_01154	CDS	1320	yesO_2		COG1653	Putative ABC transporter substrate-binding protein YesO
Sudilovsky_01155	CDS	1296	yteT	1.-.-.-	COG0673	Putative oxidoreductase YteT
Sudilovsky_01156	CDS	537	ogt	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase
Sudilovsky_01157	CDS	747	fnr		COG0664	Fumarate and nitrate reduction regulatory protein
Sudilovsky_01158	CDS	951	uspE			Universal stress protein E
Sudilovsky_01159	CDS	1389	pntB	7.1.1.1	COG1282	NAD(P) transhydrogenase subunit beta
Sudilovsky_01160	CDS	1530	pntA	7.1.1.1	COG3288	NAD(P) transhydrogenase subunit alpha
Sudilovsky_01161	CDS	954	ydgH			Protein YdgH
Sudilovsky_01162	CDS	855	kdsA	2.5.1.55	COG2877	2-dehydro-3-deoxyphosphooctonate aldolase
Sudilovsky_01163	CDS	810				hypothetical protein
Sudilovsky_01164	CDS	396	ychQ		COG3094	Protein YchQ
Sudilovsky_01165	CDS	840	prmC	2.1.1.297	COG2890	Release factor glutamine methyltransferase
Sudilovsky_01166	CDS	1083	prfA		COG0216	Peptide chain release factor RF1
Sudilovsky_01167	CDS	1257	hemA	1.2.1.70	COG0373	Glutamyl-tRNA reductase
Sudilovsky_01168	CDS	624	lolB		COG3017	Outer-membrane lipoprotein LolB
Sudilovsky_01169	CDS	873	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
Sudilovsky_01170	CDS	948	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
Sudilovsky_01171	CDS	270				hypothetical protein
Sudilovsky_01172	CDS	588	pth	3.1.1.29		Peptidyl-tRNA hydrolase
Sudilovsky_01173	CDS	1092	ychF		COG0012	Ribosome-binding ATPase YchF
Sudilovsky_01174	CDS	474				hypothetical protein
Sudilovsky_01175	CDS	897				hypothetical protein
Sudilovsky_01176	CDS	990	era_1			GTPase Era
Sudilovsky_01177	CDS	2265	era_2			GTPase Era
Sudilovsky_01178	CDS	834				hypothetical protein
Sudilovsky_01179	CDS	3240				hypothetical protein
Sudilovsky_01180	CDS	603				hypothetical protein
Sudilovsky_01181	CDS	405				hypothetical protein
Sudilovsky_01182	CDS	2265				hypothetical protein
Sudilovsky_01183	misc_RNA	124				STnc490
Sudilovsky_01184	CDS	291				IS200/IS605 family transposase IS1541B
Sudilovsky_01185	CDS	609				hypothetical protein
Sudilovsky_01186	CDS	291				hypothetical protein
Sudilovsky_01187	CDS	732				hypothetical protein
Sudilovsky_01188	CDS	456	lrp_2		COG1522	Leucine-responsive regulatory protein
Sudilovsky_01189	CDS	1521	stp		COG0477	Multidrug resistance protein Stp
Sudilovsky_01190	CDS	891	crgA_1			HTH-type transcriptional regulator CrgA
Sudilovsky_01191	CDS	1065			COG2220	putative protein
Sudilovsky_01192	CDS	594				hypothetical protein
Sudilovsky_01193	CDS	885				hypothetical protein
Sudilovsky_01194	CDS	1137				hypothetical protein
Sudilovsky_01195	CDS	1224	yciC	3.6.5.-	COG0523	Zinc chaperone YciC
Sudilovsky_01196	CDS	615				hypothetical protein
Sudilovsky_01197	CDS	807				hypothetical protein
Sudilovsky_01198	CDS	387				hypothetical protein
Sudilovsky_01199	CDS	801	hisN	3.1.3.15	COG0483	Histidinol-phosphatase
Sudilovsky_01200	CDS	1431	bglH_3	3.2.1.86	COG2723	Aryl-phospho-beta-D-glucosidase BglH
Sudilovsky_01201	CDS	1461	sacP_1		COG1263	PTS system sucrose-specific EIIBC component
Sudilovsky_01202	CDS	1026	ascG_1		COG1609	HTH-type transcriptional regulator AscG
Sudilovsky_01203	CDS	1803	rep_1	5.6.2.4		ATP-dependent DNA helicase Rep
Sudilovsky_01204	CDS	2211	recF_1			DNA replication and repair protein RecF
Sudilovsky_01205	CDS	783				hypothetical protein
Sudilovsky_01206	CDS	228				hypothetical protein
Sudilovsky_01207	CDS	501				hypothetical protein
Sudilovsky_01208	CDS	981	cmoO	1.14.14.-	COG2141	N-acetyl-S-alkylcysteine monooxygenase
Sudilovsky_01209	CDS	1197	scmP_1	3.5.1.-	COG1473	N-acetylcysteine deacetylase
Sudilovsky_01210	CDS	546	rutF	1.5.1.42	COG1853	FMN reductase (NADH) RutF
Sudilovsky_01211	CDS	1257	cmoJ	1.14.14.-	COG2141	N-acetyl-S-alkylcysteine sulfoxide monooxygenase
Sudilovsky_01212	CDS	936				hypothetical protein
Sudilovsky_01213	CDS	972				hypothetical protein
Sudilovsky_01214	CDS	555				hypothetical protein
Sudilovsky_01215	CDS	945	argU_1		COG0765	Arginine transport system permease protein ArgU
Sudilovsky_01216	CDS	825	argV_1	7.4.2.1	COG1126	Arginine transport ATP-binding protein ArgV
Sudilovsky_01217	CDS	450				hypothetical protein
Sudilovsky_01218	CDS	699	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
Sudilovsky_01219	CDS	867	lptB_1	7.5.2.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
Sudilovsky_01220	CDS	1089				hypothetical protein
Sudilovsky_01221	CDS	1575				hypothetical protein
Sudilovsky_01222	CDS	1269	amiC_1			Aliphatic amidase expression-regulating protein
Sudilovsky_01223	CDS	789				hypothetical protein
Sudilovsky_01224	CDS	3615				hypothetical protein
Sudilovsky_01225	CDS	1803	atzF	3.5.1.54		Allophanate hydrolase
Sudilovsky_01226	CDS	1008				hypothetical protein
Sudilovsky_01227	CDS	177				hypothetical protein
Sudilovsky_01228	CDS	477				hypothetical protein
Sudilovsky_01229	CDS	1281				hypothetical protein
Sudilovsky_01230	CDS	942				hypothetical protein
Sudilovsky_01231	CDS	753				hypothetical protein
Sudilovsky_01232	CDS	1707	pelW_2	4.2.2.9		Pectate disaccharide-lyase
Sudilovsky_01233	CDS	1122				hypothetical protein
Sudilovsky_01234	CDS	747	ramA	3.5.1.100		(R)-stereoselective amidase
Sudilovsky_01235	CDS	549				hypothetical protein
Sudilovsky_01236	CDS	261				hypothetical protein
Sudilovsky_01237	CDS	375				hypothetical protein
Sudilovsky_01238	CDS	390	cdiI			Immunity protein CdiI
Sudilovsky_01239	CDS	435				hypothetical protein
Sudilovsky_01240	CDS	303				hypothetical protein
Sudilovsky_01241	CDS	495				hypothetical protein
Sudilovsky_01242	CDS	381	cdiA	3.1.-.-	COG3210	Deoxyribonuclease CdiA
Sudilovsky_01243	CDS	255				hypothetical protein
Sudilovsky_01244	CDS	17463				hypothetical protein
Sudilovsky_01245	CDS	1665	cdiB			Outer membrane transporter CdiB
Sudilovsky_01246	CDS	711	mcbR		COG1802	HTH-type transcriptional regulator McbR
Sudilovsky_01247	CDS	423				hypothetical protein
Sudilovsky_01248	CDS	4884	dspE			Type III effector DspE
Sudilovsky_01249	CDS	1443				hypothetical protein
Sudilovsky_01250	CDS	324				hypothetical protein
Sudilovsky_01251	CDS	267				hypothetical protein
Sudilovsky_01252	CDS	255				hypothetical protein
Sudilovsky_01253	CDS	117				hypothetical protein
Sudilovsky_01254	CDS	699				hypothetical protein
Sudilovsky_01255	CDS	606				hypothetical protein
Sudilovsky_01256	CDS	1362				hypothetical protein
Sudilovsky_01257	CDS	798				hypothetical protein
Sudilovsky_01258	CDS	2028	vgrG1_1	2.4.2.31		Type VI secretion system spike protein VgrG1
Sudilovsky_01259	CDS	1074				hypothetical protein
Sudilovsky_01260	CDS	348				hypothetical protein
Sudilovsky_01261	CDS	192				hypothetical protein
Sudilovsky_01262	CDS	2070	sctC_1			Type 3 secretion system secretin
Sudilovsky_01263	CDS	411				hypothetical protein
Sudilovsky_01264	CDS	225				hypothetical protein
Sudilovsky_01265	CDS	600				hypothetical protein
Sudilovsky_01266	CDS	633				hypothetical protein
Sudilovsky_01267	CDS	765				hypothetical protein
Sudilovsky_01268	CDS	372				hypothetical protein
Sudilovsky_01269	CDS	207				hypothetical protein
Sudilovsky_01270	CDS	1590	pdeB_2	3.1.4.52	COG4943	putative cyclic di-GMP phosphodiesterase PdeB
Sudilovsky_01271	CDS	1056	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
Sudilovsky_01272	CDS	642	nreC		COG2197	Oxygen regulatory protein NreC
Sudilovsky_01273	CDS	1467				hypothetical protein
Sudilovsky_01274	CDS	546				hypothetical protein
Sudilovsky_01275	CDS	1209				hypothetical protein
Sudilovsky_01276	CDS	2103	lcrD			Low calcium response locus protein D
Sudilovsky_01277	CDS	936				hypothetical protein
Sudilovsky_01278	CDS	1368	sctN	7.4.2.8		Type 3 secretion system ATPase
Sudilovsky_01279	CDS	438				hypothetical protein
Sudilovsky_01280	CDS	534				hypothetical protein
Sudilovsky_01281	CDS	1146				hypothetical protein
Sudilovsky_01282	CDS	654	yscR			Virulence protein YscR
Sudilovsky_01283	CDS	261				hypothetical protein
Sudilovsky_01284	CDS	801	spaR			Surface presentation of antigens protein SpaR
Sudilovsky_01285	CDS	1080	yscU		COG4792	Yop proteins translocation protein U
Sudilovsky_01286	CDS	933	hdfR_1			HTH-type transcriptional regulator HdfR
Sudilovsky_01287	CDS	1401	tpdA	3.4.13.23		Cysteinylglycine-S-conjugate dipeptidase
Sudilovsky_01288	CDS	291				hypothetical protein
Sudilovsky_01289	CDS	810	metQ_2		COG1464	D-methionine-binding lipoprotein MetQ
Sudilovsky_01290	CDS	1113	menC_2	4.2.1.113		o-succinylbenzoate synthase
Sudilovsky_01291	CDS	660	metP_2		COG2011	Methionine import system permease protein MetP
Sudilovsky_01292	CDS	1023	metN_2	7.4.2.11	COG1135	Methionine import ATP-binding protein MetN
Sudilovsky_01293	CDS	1332				hypothetical protein
Sudilovsky_01294	CDS	1527				hypothetical protein
Sudilovsky_01295	CDS	1302	davT_1	2.6.1.48		5-aminovalerate aminotransferase DavT
Sudilovsky_01296	CDS	1125	thrB_1	2.7.1.39		Homoserine kinase
Sudilovsky_01297	CDS	735	budC_1	1.1.1.-		Meso-2,3-butanediol dehydrogenase
Sudilovsky_01298	CDS	819	potC_2		COG1177	Spermidine/putrescine transport system permease protein PotC
Sudilovsky_01299	CDS	1269				hypothetical protein
Sudilovsky_01300	CDS	1080				Gamma-aminobutyric acid-binding protein
Sudilovsky_01301	CDS	1467	gabD_1	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)] GabD
Sudilovsky_01302	CDS	1266	puuE	2.6.1.19	COG0160	4-aminobutyrate aminotransferase PuuE
Sudilovsky_01303	CDS	1494	gabR_1		COG1167	HTH-type transcriptional regulatory protein GabR
Sudilovsky_01304	CDS	1095	msiK_2	7.5.2.-	COG3842	Diacetylchitobiose uptake system ATP-binding protein MsiK
Sudilovsky_01305	CDS	249				hypothetical protein
Sudilovsky_01306	CDS	207				hypothetical protein
Sudilovsky_01307	CDS	330				hypothetical protein
Sudilovsky_01308	CDS	621	dauR_1			Transcriptional regulator DauR
Sudilovsky_01309	CDS	975	thadh	4.3.1.16		L-threo-3-hydroxyaspartate ammonia-lyase
Sudilovsky_01310	CDS	939	bhcD	1.4.1.-	COG2423	Iminosuccinate reductase
Sudilovsky_01311	CDS	1143	dthadh	4.3.1.27		D-threo-3-hydroxyaspartate dehydratase
Sudilovsky_01312	CDS	477				hypothetical protein
Sudilovsky_01313	CDS	561	pecS		COG1846	HTH-type transcriptional regulator PecS
Sudilovsky_01314	CDS	873				hypothetical protein
Sudilovsky_01315	CDS	690	narI	1.7.5.1	COG2181	Respiratory nitrate reductase 1 gamma chain
Sudilovsky_01316	CDS	720	narJ		COG2180	Nitrate reductase molybdenum cofactor assembly chaperone NarJ
Sudilovsky_01317	CDS	1581	narH	1.7.5.1	COG1140	Respiratory nitrate reductase 1 beta chain
Sudilovsky_01318	CDS	3762	narG	1.7.5.1	COG5013	Respiratory nitrate reductase 1 alpha chain
Sudilovsky_01319	CDS	1389	narK		COG2223	Nitrate/nitrite antiporter NarK
Sudilovsky_01320	CDS	1851	narX	2.7.13.3	COG3850	Nitrate/nitrite sensor protein NarX
Sudilovsky_01321	CDS	651	narL_1		COG2197	Nitrate/nitrite response regulator protein NarL
Sudilovsky_01322	CDS	1278				hypothetical protein
Sudilovsky_01323	CDS	1041				hypothetical protein
Sudilovsky_01324	CDS	684	chaC	4.3.2.7	COG3703	Glutathione-specific gamma-glutamylcyclotransferase
Sudilovsky_01325	CDS	804	vuuB	1.16.1.7		Ferric vulnibactin reductase VuuB
Sudilovsky_01326	CDS	1101	chaA		COG0387	Sodium-potassium/proton antiporter ChaA
Sudilovsky_01327	CDS	1719	dauA		COG0659	C4-dicarboxylic acid transporter DauA
Sudilovsky_01328	CDS	417				hypothetical protein
Sudilovsky_01329	CDS	723	folM	1.5.1.50	COG1028	Dihydromonapterin reductase
Sudilovsky_01330	CDS	477	ecfG			ECF RNA polymerase sigma factor EcfG
Sudilovsky_01331	CDS	804				hypothetical protein
Sudilovsky_01332	CDS	576	yceI_1			Protein YceI
Sudilovsky_01333	CDS	1392	pdeC	3.1.4.52	COG4943	putative cyclic di-GMP phosphodiesterase PdeC
Sudilovsky_01334	CDS	1203				hypothetical protein
Sudilovsky_01335	CDS	738	rstA		COG0745	Transcriptional regulatory protein RstA
Sudilovsky_01336	CDS	1290	rstB	2.7.13.3	COG2205	Sensor protein RstB
Sudilovsky_01337	CDS	411	asr			Acid shock protein
Sudilovsky_01338	CDS	303				hypothetical protein
Sudilovsky_01339	CDS	831	ydgD	3.4.21.-	COG3591	putative serine protease YdgD
Sudilovsky_01340	CDS	1779		3.1.4.52		Cyclic di-GMP phosphodiesterase
Sudilovsky_01341	CDS	840				hypothetical protein
Sudilovsky_01342	CDS	3888	hrpA	3.6.4.13	COG1643	ATP-dependent RNA helicase HrpA
Sudilovsky_01343	CDS	606	azoR	1.6.5.-	COG1182	FMN-dependent NADH:quinone oxidoreductase
Sudilovsky_01344	CDS	234				hypothetical protein
Sudilovsky_01345	CDS	2592	ydbH		COG2911	putative phospholipid transport protein YdbH
Sudilovsky_01346	CDS	1554	aer_1		COG0840	Aerotaxis receptor
Sudilovsky_01347	CDS	1554	aer_2		COG0840	Aerotaxis receptor
Sudilovsky_01348	CDS	993	ldhA	1.1.1.28	COG1052	D-lactate dehydrogenase
Sudilovsky_01349	CDS	291				hypothetical protein
Sudilovsky_01350	CDS	258				hypothetical protein
Sudilovsky_01351	CDS	936	ttcA	2.8.1.-		tRNA-cytidine(32) 2-sulfurtransferase
Sudilovsky_01352	CDS	177				hypothetical protein
Sudilovsky_01353	misc_RNA	116				frnS
Sudilovsky_01354	CDS	129				hypothetical protein
Sudilovsky_01355	CDS	984	zntB			Zinc transport protein ZntB
Sudilovsky_01356	CDS	1617	mppA		COG4166	Periplasmic murein peptide-binding protein MppA
Sudilovsky_01357	CDS	720	mpaA	3.4.17.-	COG2866	Murein peptide amidase A
Sudilovsky_01358	CDS	504	tpx	1.11.1.24	COG2077	Thiol peroxidase
Sudilovsky_01359	CDS	1569	tyrR			HTH-type transcriptional regulatory protein TyrR
Sudilovsky_01360	CDS	1545	dapE_2	3.5.1.18		Succinyl-diaminopimelate desuccinylase
Sudilovsky_01361	CDS	1044				hypothetical protein
Sudilovsky_01362	CDS	1398	ycjX	3.6.5.2	COG3106	Ras-like GTPase YcjX
Sudilovsky_01363	CDS	1737				hypothetical protein
Sudilovsky_01364	CDS	516	apxIC	2.3.1.-		RTX-I toxin-activating lysine-acyltransferase ApxIC
Sudilovsky_01365	CDS	7818				hypothetical protein
Sudilovsky_01366	CDS	606				hypothetical protein
Sudilovsky_01367	CDS	492				hypothetical protein
Sudilovsky_01368	CDS	366	pspC		COG1983	Phage shock protein C
Sudilovsky_01369	CDS	225	pspB			Phage shock protein B
Sudilovsky_01370	CDS	666	pspA		COG1842	Phage shock protein A
Sudilovsky_01371	CDS	990	pspF		COG1221	Psp operon transcriptional activator
Sudilovsky_01372	CDS	1530	celV	3.2.1.4		Endoglucanase 5
Sudilovsky_01373	misc_RNA	67				RyhB
Sudilovsky_01374	CDS	489	res	2.4.2.-	COG5654	Toxin Res
Sudilovsky_01375	CDS	441				hypothetical protein
Sudilovsky_01376	CDS	1743	sapA			Peptide transport periplasmic protein SapA
Sudilovsky_01377	CDS	966	sapB		COG4168	Putrescine export system permease protein SapB
Sudilovsky_01378	CDS	891	sapC			Peptide transport system permease protein SapC
Sudilovsky_01379	CDS	993	sapD			Peptide transport system ATP-binding protein SapD
Sudilovsky_01380	CDS	816	sapF			Peptide transport system ATP-binding protein SapF
Sudilovsky_01381	CDS	789	fabI	1.3.1.9		Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
Sudilovsky_01382	CDS	558				hypothetical protein
Sudilovsky_01383	CDS	981	apbE_1	2.7.1.180	COG1477	FAD:protein FMN transferase
Sudilovsky_01384	CDS	2877		1.3.1.6		NADH:fumarate oxidoreductase
Sudilovsky_01385	CDS	2367		2.4.1.161	COG1501	Oligosaccharide 4-alpha-D-glucosyltransferase
Sudilovsky_01386	CDS	1311	exuT_1		COG2271	Hexuronate transporter
Sudilovsky_01387	CDS	1071	cytR_1		COG1609	HTH-type transcriptional repressor CytR
Sudilovsky_01388	CDS	903	cysL		COG0583	HTH-type transcriptional regulator CysL
Sudilovsky_01389	CDS	2313	ydeP		COG0243	Protein YdeP
Sudilovsky_01390	CDS	1935	rnb	3.1.13.1	COG4776	Exoribonuclease 2
Sudilovsky_01391	CDS	918	smoB	1.1.1.432	COG4989	6-dehydroglucose reductase
Sudilovsky_01392	CDS	504				hypothetical protein
Sudilovsky_01393	CDS	1182	ydhP		COG2814	Inner membrane transport protein YdhP
Sudilovsky_01394	CDS	2064	cstA		COG1966	Peptide transporter CstA
Sudilovsky_01395	CDS	696	araD	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase AraD
Sudilovsky_01396	CDS	216	osmB			Osmotically-inducible lipoprotein B
Sudilovsky_01397	CDS	336	yciH		COG0023	putative protein YciH
Sudilovsky_01398	CDS	744	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
Sudilovsky_01399	CDS	1170	lapB		COG2956	Lipopolysaccharide assembly protein B
Sudilovsky_01400	CDS	306	lapA		COG3771	Lipopolysaccharide assembly protein A
Sudilovsky_01401	CDS	945	deoR_2		COG2390	Deoxyribonucleoside regulator
Sudilovsky_01402	CDS	999	apsI	5.3.1.36	COG1082	D-apiose isomerase
